City,Recreation Count,Average Quality of Life
Albuquerque,5,5.104848039215686
Anchorage,4,4.909465686274509
Asheville,3,4.89768137254902
Atlanta,4,5.981529411764706
Austin,1,6.150053921568627
Baltimore,9,4.503230392156863
Boise,7,5.344941176470588
Boston,17,6.681279411764707
Boulder,4,6.193406862745099
Buffalo,2,5.476102941176471
Charleston,0,5.2200637254901965
Charlotte,0,5.447593137254901
Chicago,1,6.4244852941176465
Cincinnati,2,5.524088235294117
Cleveland,3,5.4108970588235294
Colorado Springs,0,5.4729656862745095
Columbus,0,5.726632352941175
Dallas,3,5.915343137254901
Denver,5,6.0817009803921565
Des Moines,2,5.444901960784314
Detroit,1,5.393779411764704
Honolulu,5,5.1796323529411765
Houston,1,5.777220588235294
Indianapolis,0,5.49146568627451
Jacksonville,2,5.1296470588235294
Kansas City,4,5.342156862745098
Knoxville,0,4.741504901960785
Las Vegas,4,5.557245098039216
Los Angeles,9,6.439754901960783
Louisville,1,4.914004901960784
Madison,0,5.765406862745097
Memphis,1,4.707171568627451
Miami,1,5.667102941176471
Milwaukee,0,5.323225490196078
Minneapolis Saint-Paul,6,6.043117647058823
Nashville,2,5.480460784313727
New Orleans,3,4.834980392156862
New York,17,6.6500980392156865
Oklahoma City,3,5.3705
Omaha,7,5.155691176470588
Orlando,0,5.411455882352942
Palo Alto,2,5.156681372549019
Philadelphia,7,5.6870980392156865
Phoenix,4,5.721593137254902
Pittsburgh,1,5.863828431372548
Portland ME,1,4.2036911764705875
Portland OR,6,5.957421568627451
Providence,5,4.771019607843137
Raleigh,1,6.1698627450980394
Richmond,5,5.283651960784312
Rochester,0,5.09256862745098
Salt Lake City,10,6.198906862745098
San Antonio,1,5.6600343137254905
San Diego,6,6.4300098039215685
San Francisco,11,6.543632352941176
Seattle,3,6.197372549019608
St. Louis,2,5.870299019607844
Tampa Bay Area,1,5.586539215686273
Washington D.C.,1025,5.816936274509803
